order_id,customer_id,order_date,product_category,price,quantity,payment_method,region,revenue
139,3568,2024-05-20,Books,122.39,4,Bank Transfer,Java,489.56
140,2367,2024-06-21,Electronics,335.3,2,Bank Transfer,Sumatra,670.6
141,2152,2024-09-29,Books,360.52,1,Bank Transfer,Java,360.52
142,3027,2024-10-15,Home,68.57,4,Bank Transfer,Kalimantan,274.28
143,3695,2024-06-02,Books,73.86,1,Bank Transfer,Kalimantan,73.86
144,2495,2024-12-25,Electronics,298.65,3,Credit Card,Kalimantan,895.9499999999999
145,4134,2024-02-01,Sports,478.85,2,Credit Card,Sulawesi,957.7
146,2162,2024-03-19,Electronics,278.69,2,E-Wallet,Kalimantan,557.38
147,2522,2024-10-23,Books,357.31,4,Credit Card,Bali,1429.24
148,3640,2024-02-07,Home,289.83,3,Bank Transfer,Bali,869.49
149,1391,2024-08-13,Clothing,56.89,2,E-Wallet,Kalimantan,113.78
150,2698,2024-05-23,Electronics,473.5,1,Credit Card,Sumatra,473.5
151,1418,2024-01-13,Sports,40.63,3,Bank Transfer,Java,121.89000000000001
152,3336,2024-05-18,Home,381.14,2,E-Wallet,Bali,762.28
153,1378,2024-07-15,Clothing,489.78,2,E-Wallet,Bali,979.56
154,2796,2024-07-13,Clothing,162.9,3,Credit Card,Sulawesi,488.70000000000005
155,4561,2024-03-20,Sports,89.96,3,E-Wallet,Bali,269.88
156,3278,2024-11-28,Clothing,285.26,4,Bank Transfer,Bali,1141.04
157,4065,2024-12-02,Electronics,398.56,4,E-Wallet,Kalimantan,1594.24
158,3088,2024-11-19,Books,474.99,1,Bank Transfer,Java,474.99
159,4099,2024-02-01,Clothing,348.37,4,E-Wallet,Kalimantan,1393.48
160,3182,2024-06-18,Clothing,171.26,1,E-Wallet,Sumatra,171.26
161,1200,2024-05-16,Electronics,249.7,4,Bank Transfer,Bali,998.8
162,2863,2024-02-22,Books,381.79,1,Bank Transfer,Sumatra,381.79
163,1779,2024-02-17,Electronics,395.03,4,E-Wallet,Sumatra,1580.12
164,3977,2024-05-20,Home,41.85,2,Bank Transfer,Bali,83.7
165,4104,2024-08-26,Books,308.8,4,E-Wallet,Bali,1235.2
166,4119,2024-07-02,Electronics,483.85,4,E-Wallet,Sulawesi,1935.4
167,1502,2024-12-30,Sports,393.7,4,Credit Card,Kalimantan,1574.8
168,3454,2024-07-10,Clothing,8.62,3,E-Wallet,Sulawesi,25.86
169,4645,2024-03-18,Home,116.35,1,Bank Transfer,Sumatra,116.35
170,2751,2024-09-14,Clothing,225.28,4,Credit Card,Sulawesi,901.12
171,1804,2024-03-13,Home,354.6,2,E-Wallet,Sumatra,709.2
172,3146,2024-07-22,Clothing,279.85,1,E-Wallet,Kalimantan,279.85
173,3731,2024-06-15,Electronics,43.28,3,Credit Card,Sumatra,129.84
174,2895,2024-04-24,Books,370.44,4,Credit Card,Sumatra,1481.76
175,3773,2024-12-14,Electronics,420.16,4,Bank Transfer,Bali,1680.64
176,2570,2024-08-07,Sports,106.85,2,Credit Card,Bali,213.7
177,1960,2024-08-29,Electronics,38.37,1,E-Wallet,Kalimantan,38.37
178,4810,2024-05-31,Clothing,396.52,3,Bank Transfer,Sumatra,1189.56
179,3660,2024-05-13,Sports,322.02,1,E-Wallet,Bali,322.02
180,2485,2024-01-29,Electronics,402.73,2,Credit Card,Bali,805.46
181,3690,2024-11-11,Books,285.47,3,E-Wallet,Java,856.4100000000001
182,4840,2024-06-01,Clothing,217.13,3,Bank Transfer,Bali,651.39
183,2028,2024-03-15,Clothing,481.72,2,E-Wallet,Java,963.44
184,4289,2024-09-24,Home,391.08,2,Credit Card,Sumatra,782.16
185,1502,2024-09-07,Clothing,208.9,2,E-Wallet,Java,417.8
186,3814,2024-08-24,Clothing,454.22,1,Credit Card,Kalimantan,454.22
187,1397,2024-08-03,Sports,496.78,4,Bank Transfer,Sumatra,1987.12
188,1870,2024-06-08,Clothing,157.58,4,Credit Card,Bali,630.32
189,3842,2024-10-10,Electronics,446.78,4,Bank Transfer,Java,1787.12
190,1392,2024-05-21,Sports,27.47,1,Credit Card,Kalimantan,27.47
191,1206,2024-04-01,Sports,111.1,4,Bank Transfer,Java,444.4
192,2038,2024-02-13,Clothing,84.65,3,E-Wallet,Java,253.95000000000002
193,2881,2024-02-27,Home,181.51,2,Bank Transfer,Sumatra,363.02
194,4625,2024-09-08,Home,283.5,3,Bank Transfer,Java,850.5
195,3939,2024-04-16,Home,361.39,4,E-Wallet,Sumatra,1445.56
196,2484,2024-08-07,Clothing,451.89,3,Bank Transfer,Kalimantan,1355.67
197,4762,2024-01-17,Books,83.48,1,Bank Transfer,Java,83.48
198,4646,2024-02-09,Electronics,291.25,2,E-Wallet,Java,582.5
199,1863,2024-12-03,Home,279.57,2,Credit Card,Kalimantan,559.14
200,3790,2024-09-12,Books,231.94,1,Credit Card,Bali,231.94
201,4312,2024-01-12,Home,348.82,2,Bank Transfer,Sumatra,697.64
202,1563,2024-08-26,Books,259.11,3,Credit Card,Kalimantan,777.33
203,2020,2024-01-03,Clothing,277.34,2,Bank Transfer,Sumatra,554.68
204,1095,2024-06-30,Clothing,452.15,2,E-Wallet,Sumatra,904.3
205,2923,2024-05-15,Books,430.83,4,Bank Transfer,Bali,1723.32
206,2757,2024-01-04,Clothing,290.78,2,Credit Card,Java,581.56
207,3532,2024-11-15,Sports,82.32,4,E-Wallet,Bali,329.28
208,4478,2024-09-04,Electronics,479.56,4,E-Wallet,Bali,1918.24
209,3278,2024-01-06,Sports,313.24,2,Bank Transfer,Sumatra,626.48
210,3796,2024-05-03,Home,404.7,4,Credit Card,Bali,1618.8
211,2678,2024-01-25,Clothing,32.24,3,Bank Transfer,Java,96.72
212,4242,2024-09-22,Clothing,448.93,1,E-Wallet,Sumatra,448.93
213,1540,2024-02-13,Home,348.28,3,E-Wallet,Kalimantan,1044.84
214,2059,2024-03-14,Electronics,344.29,3,Bank Transfer,Java,1032.8700000000001
215,3572,2024-04-04,Home,59.51,2,Credit Card,Java,119.02
216,2183,2024-05-08,Home,357.87,4,Bank Transfer,Kalimantan,1431.48
217,4910,2024-09-01,Electronics,42.94,2,E-Wallet,Sumatra,85.88
218,2722,2024-02-17,Sports,32.63,4,E-Wallet,Java,130.52
219,4314,2024-04-09,Clothing,166.05,4,Credit Card,Sumatra,664.2
220,4157,2024-07-30,Clothing,16.47,2,Credit Card,Sulawesi,32.94
221,2819,2024-11-28,Clothing,84.01,1,Credit Card,Sumatra,84.01
222,3625,2024-11-25,Home,364.43,3,Bank Transfer,Bali,1093.29
223,3729,2024-07-31,Books,418.29,4,E-Wallet,Java,1673.16
224,3604,2024-06-13,Electronics,93.86,1,Bank Transfer,Sulawesi,93.86
225,2597,2024-02-12,Clothing,412.53,3,Bank Transfer,Kalimantan,1237.59
226,4060,2024-01-21,Electronics,242.86,1,Credit Card,Sumatra,242.86
227,3693,2024-02-23,Sports,479.16,1,Credit Card,Bali,479.16
228,1795,2024-05-25,Clothing,73.96,1,Bank Transfer,Java,73.96
229,2051,2024-10-07,Sports,31.51,2,Credit Card,Java,63.02
230,2643,2024-04-07,Clothing,423.31,4,E-Wallet,Bali,1693.24
231,4627,2024-05-08,Sports,184.18,2,E-Wallet,Bali,368.36
232,2363,2024-08-07,Home,231.3,2,E-Wallet,Kalimantan,462.6
233,4869,2024-03-22,Books,258.34,2,E-Wallet,Sulawesi,516.68
234,2981,2024-03-30,Electronics,413.46,3,E-Wallet,Sumatra,1240.3799999999999
235,2354,2024-08-08,Home,42.62,4,Credit Card,Java,170.48
236,2663,2024-10-02,Sports,277.81,3,Bank Transfer,Sulawesi,833.4300000000001
237,2529,2024-08-02,Home,218.13,2,Credit Card,Java,436.26
238,3038,2024-10-02,Electronics,173.44,2,Bank Transfer,Java,346.88
239,4419,2024-02-13,Books,177.32,4,E-Wallet,Sulawesi,709.28
240,2496,2024-08-30,Clothing,465.52,3,Credit Card,Kalimantan,1396.56
241,4302,2024-04-13,Electronics,137.72,1,Credit Card,Bali,137.72
242,3237,2024-12-18,Clothing,230.04,4,Bank Transfer,Sumatra,920.16
243,4296,2024-08-21,Home,248.94,1,Credit Card,Sumatra,248.94
244,2408,2024-11-28,Sports,361.33,1,Credit Card,Sumatra,361.33
245,2400,2024-08-29,Clothing,261.9,4,Bank Transfer,Bali,1047.6
246,2306,2024-09-05,Clothing,312.51,4,Credit Card,Bali,1250.04
247,3680,2024-07-22,Home,202.42,4,E-Wallet,Kalimantan,809.68
248,3675,2024-02-18,Clothing,360.72,2,E-Wallet,Bali,721.44
249,1972,2024-05-29,Books,235.6,2,Credit Card,Java,471.2
250,2768,2024-01-22,Books,115.24,2,Credit Card,Sulawesi,230.48
251,2282,2024-02-03,Clothing,409.38,1,Credit Card,Bali,409.38
252,4430,2024-11-01,Electronics,383.9,1,Bank Transfer,Sulawesi,383.9
253,1709,2024-04-18,Books,315.61,4,Credit Card,Kalimantan,1262.44
254,2479,2024-11-10,Electronics,263.36,4,Credit Card,Kalimantan,1053.44
255,2434,2024-11-18,Electronics,108.21,4,E-Wallet,Bali,432.84
256,1648,2024-06-18,Electronics,434.84,2,Bank Transfer,Sulawesi,869.68
257,1317,2024-01-10,Electronics,53.11,2,Credit Card,Sumatra,106.22
258,4748,2024-07-25,Sports,194.68,4,E-Wallet,Java,778.72
259,4296,2024-03-10,Home,427.02,3,E-Wallet,Sulawesi,1281.06
260,4890,2024-02-23,Books,299.81,2,Credit Card,Bali,599.62
261,2257,2024-04-14,Electronics,222.12,3,Bank Transfer,Java,666.36
262,1683,2024-08-12,Clothing,396.72,1,Bank Transfer,Kalimantan,396.72
263,1663,2024-02-20,Books,494.81,2,Bank Transfer,Sulawesi,989.62
264,2998,2024-08-16,Sports,98.46,4,E-Wallet,Kalimantan,393.84
265,4898,2024-05-17,Sports,30.11,1,Credit Card,Bali,30.11
266,4445,2024-02-19,Electronics,234.18,1,Bank Transfer,Bali,234.18
267,4743,2024-01-29,Sports,147.26,2,Bank Transfer,Java,294.52
268,2631,2024-05-06,Clothing,335.04,3,Credit Card,Sulawesi,1005.1200000000001
269,2495,2024-11-01,Home,249.66,3,E-Wallet,Sumatra,748.98
270,4304,2024-11-27,Home,252.01,1,Credit Card,Kalimantan,252.01
271,4763,2024-10-19,Home,180.72,1,Bank Transfer,Kalimantan,180.72
272,2136,2024-12-08,Sports,109.28,1,E-Wallet,Sulawesi,109.28
273,2853,2024-01-03,Home,110.66,4,E-Wallet,Java,442.64
274,2520,2024-10-14,Electronics,196.55,2,E-Wallet,Sulawesi,393.1
275,3489,2024-03-13,Clothing,342.51,3,Bank Transfer,Kalimantan,1027.53
276,1563,2024-10-13,Home,171.89,2,E-Wallet,Bali,343.78
277,2291,2024-10-08,Clothing,166.38,3,E-Wallet,Kalimantan,499.14
278,4581,2024-12-26,Clothing,215.38,3,E-Wallet,Java,646.14
279,4878,2024-08-30,Electronics,495.48,3,Credit Card,Kalimantan,1486.44
280,4457,2024-08-09,Clothing,50.16,1,Bank Transfer,Bali,50.16
281,4458,2024-08-31,Books,150.85,1,Credit Card,Sulawesi,150.85
282,4184,2024-10-05,Clothing,149.54,3,E-Wallet,Java,448.62
283,2636,2024-11-07,Home,487.38,1,Credit Card,Java,487.38
284,4696,2024-01-07,Sports,206.55,2,E-Wallet,Bali,413.1
285,3999,2024-03-11,Electronics,285.65,1,E-Wallet,Java,285.65
286,4152,2024-02-03,Books,103.07,2,Bank Transfer,Sulawesi,206.14
287,1698,2024-10-05,Clothing,11.29,3,E-Wallet,Sulawesi,33.87
288,3160,2024-06-11,Books,172.94,4,Bank Transfer,Java,691.76
289,1001,2024-05-25,Electronics,321.32,2,Bank Transfer,Kalimantan,642.64
290,1641,2024-02-06,Electronics,347.31,2,Bank Transfer,Bali,694.62
291,3267,2024-05-11,Clothing,378.17,1,Bank Transfer,Sulawesi,378.17
292,2589,2024-09-02,Clothing,431.03,1,Bank Transfer,Java,431.03
293,1854,2024-06-07,Sports,62.23,2,Credit Card,Sulawesi,124.46
294,2759,2024-08-19,Electronics,45.98,3,Bank Transfer,Kalimantan,137.94
295,4296,2024-06-19,Home,394.9,3,Credit Card,Kalimantan,1184.6999999999998
296,3432,2024-10-11,Electronics,220.7,1,Credit Card,Bali,220.7
297,4474,2024-05-16,Sports,473.82,3,Credit Card,Sumatra,1421.46
298,2661,2024-06-14,Sports,472.02,4,Bank Transfer,Kalimantan,1888.08
299,2153,2024-02-15,Clothing,75.12,1,Bank Transfer,Sumatra,75.12
300,2076,2024-09-08,Electronics,347.16,3,Credit Card,Sulawesi,1041.48
301,2707,2024-10-12,Home,38.22,4,Credit Card,Bali,152.88
302,3777,2024-03-01,Electronics,204.69,4,Credit Card,Sumatra,818.76
303,2695,2024-08-16,Electronics,421.65,3,E-Wallet,Sulawesi,1264.9499999999998
304,2733,2024-07-08,Home,233.17,1,Bank Transfer,Bali,233.17
305,2439,2024-02-12,Books,21.64,4,Credit Card,Java,86.56
306,3294,2024-04-04,Books,123.96,4,Bank Transfer,Sumatra,495.84
307,1835,2024-10-23,Home,47.75,4,Credit Card,Sumatra,191.0
308,4510,2024-02-04,Home,207.08,2,Bank Transfer,Sumatra,414.16
309,1202,2024-02-14,Books,349.87,1,Bank Transfer,Sumatra,349.87
310,4255,2024-02-19,Home,331.88,1,Credit Card,Sumatra,331.88
311,1122,2024-04-20,Clothing,360.88,3,E-Wallet,Java,1082.6399999999999
312,1400,2024-01-12,Books,194.99,2,Bank Transfer,Sulawesi,389.98
313,1766,2024-05-24,Electronics,136.31,1,Credit Card,Kalimantan,136.31
314,1293,2024-01-03,Electronics,33.18,3,Bank Transfer,Sulawesi,99.53999999999999
315,3327,2024-08-25,Home,471.08,1,Bank Transfer,Java,471.08
316,4908,2024-02-09,Electronics,63.55,4,Bank Transfer,Sulawesi,254.2
317,3931,2024-11-14,Clothing,93.23,4,Bank Transfer,Java,372.92
318,4681,2024-03-21,Clothing,17.38,4,E-Wallet,Sulawesi,69.52
319,1197,2024-05-02,Home,162.0,2,Credit Card,Sumatra,324.0
320,4029,2024-08-19,Books,410.33,3,Credit Card,Sulawesi,1230.99
321,2930,2024-08-21,Electronics,169.46,3,Bank Transfer,Sumatra,508.38
322,4582,2024-08-18,Clothing,334.66,1,Credit Card,Sumatra,334.66
323,3799,2024-06-05,Electronics,482.94,4,E-Wallet,Bali,1931.76
324,3191,2024-05-20,Home,446.8,4,E-Wallet,Sumatra,1787.2
325,1608,2024-04-22,Sports,94.09,4,E-Wallet,Sumatra,376.36
326,4272,2024-03-27,Clothing,182.81,2,Credit Card,Kalimantan,365.62
327,2147,2024-08-24,Electronics,376.81,1,Bank Transfer,Sulawesi,376.81
328,1186,2024-05-15,Home,488.94,4,Credit Card,Sumatra,1955.76
329,4397,2024-01-23,Home,359.39,1,Bank Transfer,Sumatra,359.39
330,3511,2024-04-05,Electronics,129.85,2,E-Wallet,Bali,259.7
331,4420,2024-02-12,Clothing,70.75,1,Bank Transfer,Sulawesi,70.75
332,2794,2024-10-25,Clothing,250.1,3,E-Wallet,Java,750.3
333,1659,2024-08-18,Books,100.51,1,Bank Transfer,Kalimantan,100.51
334,3811,2024-03-17,Sports,117.67,2,Credit Card,Kalimantan,235.34
335,4002,2024-10-28,Sports,319.04,4,Bank Transfer,Java,1276.16
336,2955,2024-05-16,Books,259.84,2,Bank Transfer,Java,519.68
337,3450,2024-10-15,Sports,64.74,3,E-Wallet,Kalimantan,194.21999999999997
338,2369,2024-06-16,Books,81.07,3,Credit Card,Kalimantan,243.20999999999998
339,2986,2024-05-30,Electronics,14.62,1,Credit Card,Sulawesi,14.62
340,2534,2024-07-31,Clothing,113.73,1,Bank Transfer,Sulawesi,113.73
341,1146,2024-09-05,Sports,444.22,3,Credit Card,Java,1332.66
342,4219,2024-09-30,Home,397.55,4,Bank Transfer,Sulawesi,1590.2
343,3911,2024-08-24,Electronics,210.32,4,E-Wallet,Bali,841.28
344,2734,2024-09-12,Clothing,372.26,3,E-Wallet,Bali,1116.78
345,2843,2024-07-23,Clothing,206.45,4,Credit Card,Sumatra,825.8
346,1488,2024-10-06,Clothing,397.09,1,Credit Card,Java,397.09
347,3976,2024-07-29,Clothing,95.06,4,Bank Transfer,Java,380.24
348,2959,2024-03-23,Home,80.5,1,Bank Transfer,Kalimantan,80.5
349,2663,2024-12-15,Books,43.58,4,E-Wallet,Kalimantan,174.32
350,3598,2024-01-31,Sports,124.69,1,Credit Card,Kalimantan,124.69
351,3385,2024-01-22,Sports,77.43,3,Credit Card,Java,232.29000000000002
352,3919,2024-11-13,Books,400.33,3,Credit Card,Bali,1200.99
353,1640,2024-02-10,Clothing,123.79,1,Credit Card,Sumatra,123.79
354,2802,2024-06-26,Clothing,260.52,4,Credit Card,Sumatra,1042.08
355,3520,2024-12-24,Electronics,379.32,1,E-Wallet,Kalimantan,379.32
356,2969,2024-04-23,Books,340.15,4,Credit Card,Bali,1360.6
